level,algorithm,dist
code2vec,leiden,-0.05036174647013081
code2vec,leiden,0.1019250250429824
code2vec,leiden,-0.16623690769930533
code2vec,leiden,0.14056109934644923
code2vec,leiden,0.1061058178366398
code2vec,leiden,-0.2503314908400669
code2vec,leiden,-0.27619861168789983
code2vec,leiden,0.1456682755154156
code2vec,leiden,-0.21072271829145106
code2vec,leiden,-0.047843921118113086
code2vec,leiden,0.06884982110401894
code2vec,leiden,0.20692121275196684
code2vec,leiden,-0.029763144962830168
code2vec,leiden,-0.005575087281599056
code2vec,leiden,-0.1513744985891916
code2vec,leiden,0.036811642655386945
code2vec,leiden,-0.17802566808539133
code2vec,leiden,0.004811070774979775
code2vec,leiden,0.017107344160633753
code2vec,leiden,-0.09316655882314917
code2vec,leiden,-0.10230477318370157
code2vec,leiden,-0.20594356744686682
code2vec,leiden,0.14990200505479911
code2vec,leiden,-0.017707819424909177
code2vec,leiden,-0.12255871692928821
code2vec,leiden,-0.011803814559849468
code2vec,leiden,0.002366096632898218
code2vec,leiden,-0.1097085839541243
code2vec,leiden,-0.08267547388041807
code2vec,leiden,-0.013242239335362171
code2vec,leiden,0.1855380312824656
code2vec,leiden,-0.3536476927854182
code2vec,leiden,-0.08940526847082897
code2vec,leiden,-0.17821140680922842
code2vec,leiden,
code2vec,leiden,-0.011655439999117112
code2vec,leiden,-0.04972983082451721
code2vec,leiden,0.13811458263812537
code2vec,leiden,-0.16223908240539897
code2vec,leiden,-0.186744882250657
code2vec,leiden,-0.0396069438054899
code2vec,leiden,-0.1782297590538371
code2vec,leiden,-0.31940828150347467
code2vec,leiden,-0.13878254022468228
code2vec,leiden,-0.18750098344751287
code2vec,leiden,-0.018329518074490236
code2vec,leiden,-0.08782903532311348
code2vec,leiden,-0.011557131151422206
code2vec,leiden,-0.12999969577658055
code2vec,leiden,-0.13264121136978158
code2vec,leiden,-0.28535484872865613
code2vec,leiden,-0.16380964594706893
code2vec,leiden,0.029657497189043425
code2vec,leiden,0.07862514892864014
code2vec,leiden,-0.12119763299144748
code2vec,leiden,-0.07961398767813521
code2vec,leiden,-0.10097730846428454
code2vec,leiden,-0.058953164309363926
code2vec,leiden,-0.013344427614856436
code2vec,leiden,-0.21054453062962653
code2vec,leiden,0.03612680974237614
code2vec,leiden,-0.24103376368030593
code2vec,leiden,-0.0748690796251541
code2vec,leiden,0.01628740088666003
code2vec,leiden,0.16028609436193442
code2vec,leiden,0.055727573182300594
code2vec,leiden,0.06825567475434557
code2vec,leiden,0.10686088144798211
code2vec,leiden,-0.05637974383136546
code2vec,leiden,-0.12898766761756786
code2vec,leiden,-0.08786455786570191
code2vec,leiden,4.0164955959487436e-05
code2vec,leiden,-0.021190301366856623
code2vec,leiden,-0.09058245083487826
code2vec,leiden,-0.15960583690112506
code2vec,leiden,-0.1870614682052537
code2vec,leiden,-0.14518755138777217
code2vec,leiden,-0.07621208157941217
code2vec,leiden,0.06062508011764034
code2vec,leiden,0.12354977679253476
code2vec,leiden,-0.183468104362966
code2vec,leiden,-0.10072765128738204
code2vec,leiden,-0.005868118761775398
code2vec,leiden,0.11931139214359476
code2vec,leiden,-0.12954757591781763
code2vec,leiden,-0.06502801755275256
code2vec,leiden,-0.23566411335694404
code2vec,leiden,-0.11736678535354272
code2vec,leiden,-0.09921389335279507
code2vec,leiden,0.055032982036189115
code2vec,leiden,-0.1038640826321322
code2vec,leiden,-0.016121191894637232
code2vec,leiden,-0.06239471980240807
code2vec,leiden,0.12135784338903055
