project, size, rand
activej, 670, 0.3990292054030295
activemq, 2226, 0.2974538853720748
adt4j, 44, 0.4804612147872893
Aeron, 454, 0.29676478905469866
Agrona, 121, 0.45961684658658963
airline, 38, 0.5317866181725518
antlr4, 221, 0.48538163101578624
apollo, 131, 0.3160215632534271
arangodb-java-driver, 242, 0.19287145056326632
ArchUnit, 185, 0.35011462787127806
args4j, 68, 0.09716122837374137
armeria, 697, 0.3314395173822872
arquillian-core, 373, 0.26497290957967795
arthas, 479, 0.2804833273549561
assertj-core, 536, 0.3208188101250273
async-http-client, 205, 0.10088825012218226
attic-aurora, 361, 0.046338696669682836
auto, 96, 0.3462238301909502
automon, 28, 0.8971646212441812
avro, 292, 0.0725161089604716
awaitility, 48, 0.8631393079520461
bazel, 2642, 0.009059166520561933
bc-java, 3556, 0.42765199369206836
beanmother, 76, 0.2869103696315334
blade, 181, 0.3594679803099768
bootique, 157, 0.26047656321751733
btm, 139, 0.4427648219373187
buck, 3386, 0.20539182516594895
bucket4j, 63, 0.4307734330480976
byte-buddy, 190, 0.18614285139392905
bytecode-viewer, 140, 0.15466197179590935
byteman, 181, 0.10141106057788218
cache2k, 120, 0.238958309996676
cactoos, 140, 0.5942568683809775
caffeine, 151, 0.14034170148844238
calcite, 1241, 0.28577130656789096
camel, 1682, -0.0008596193759770833
centraldogma, 293, 0.37559891198518225
cfg4j, 45, 0.6861542675411233
cglib, 128, 0.03637351332187136
checkstyle, 374, 0.08692660812501297
choco-solver, 634, 0.0488264001091286
Chronicle-Map, 102, 0.34675561759677176
citrus, 1333, 0.1909178218669148
classgraph, 124, 0.5100134621104978
client_java, 60, 0.4426033862808657
clover, 617, 0.18929582752526117
cobertura, 141, 0.6551337355760467
CodenameOne, 781, 0.0756458714553692
commons-bcel, 388, 0.7344026176857886
commons-beanutils, 104, 0.9059447247303254
jtk, 300, 0.4785549432037537
junit-dataprovider, 57, 0.3139240506329114
junit5, 479, 0.02322017472128164
kafka, 1450, 0.46194485673399305
karate, 265, 0.3360885027137755
keywhiz, 90, 0.06518274137680473
Koloboke, 73, 0.5402179659744233
lambda-behave, 37, 0.29475760828570596
lanterna, 192, 0.254353570849931
Leaf, 25, 0.22034527566363468
light-4j, 311, 0.223733305602764
